y_mean,y_std,y_var,y_rms,y_max,y_min,y_peak_to_peak,y_skewness,y_kurtosis,y_crest_factor,y_shape_factor,y_impulse_factor,y_clearance_factor,y_fft_points,y_frequency_resolution,y_freq_min,y_freq_max,y_nyquist_frequency,y_dominant_frequency,y_dominant_amplitude,y_spectral_energy,y_spectral_centroid,y_bandwidth,y_peak1_freq,y_peak2_freq,y_peak3_freq,y_peak1_amp,y_peak2_amp,y_peak3_amp,window_id,start_sample,end_sample,start_time_s,end_time_s,center_time_s,window_duration_s,motor,speed,folder,source_file
0.00012610657586057511,0.13516828804941705,0.018270466094210177,0.13516834687558568,0.3267889500458651,-0.3384938866305318,0.665282836676397,0.0010240193728847898,-0.793377619519787,2.5042393019875804,1.1876195369802,2.9740835203141094,3.390916511918623,1000,0.1,0.0,50.0,50.0,43.6,49.85637920741075,9135.257551435341,31.93625754992573,11.483384675536783,43.6,43.800000000000004,21.200000000000003,49.85637920741075,49.04884726969867,24.05297069252983,21,2000,2999,20.0,29.99,24.994999999999997,10.0,1,,M1_1260,bloco_003.csv
-0.00017861121735353536,0.13709320652302026,0.018794547274763488,0.1370933228743488,0.3393124186317965,-0.3384938866305318,0.6778063052623283,-0.005323748704441849,-0.7270432239991904,2.4750470082542906,1.1961836973215934,2.9606108813783654,3.401688351031785,1000,0.1,0.0,50.0,50.0,43.7,60.41478567974884,9397.313761362397,31.78635228928039,11.730462454017106,43.7,43.5,21.3,60.41478567974884,24.631910932997105,23.852458326321063,22,2500,3499,25.0,34.99,29.995,10.0,1,,M1_1260,bloco_003.csv
-2.5996168319449717e-05,0.13712005160353608,0.018801908551756393,0.13712005406780278,0.3393124186317965,-0.32876104958313235,0.6680734682149289,-0.017409684725145515,-0.7178992820847321,2.4745645043577227,1.1901395431522386,2.9450770687170458,3.3579544298087893,1000,0.1,0.0,50.0,50.0,43.7,58.619937429574065,9401.165695853118,32.8113064161961,11.545556975159474,43.7,43.6,43.800000000000004,58.619937429574065,37.59031166021783,24.78589803646015,23,3000,3999,30.0,39.99,34.995000000000005,10.0,1,,M1_1260,bloco_003.csv
-4.70321939495868e-05,0.13574920050779335,0.01842784543850508,0.13574920865527118,0.29971693494543306,-0.3409364659781254,0.6406534009235585,-0.014874268761912675,-0.7110576835500853,2.511517152515546,1.191499992115462,2.992472667420121,3.418548249958995,1000,0.1,0.0,50.0,50.0,43.7,55.11487462566984,9213.927082072385,31.691742314455375,11.321835354442372,43.7,43.6,43.800000000000004,55.11487462566984,43.586265902487604,26.468658474283494,24,3500,4499,35.0,44.99,39.995000000000005,10.0,1,,M1_1260,bloco_003.csv
-1.7817303225567447e-05,0.13456105419999684,0.018106677307414484,0.13456105537959628,0.3098396108450295,-0.36230372806230027,0.6721433389073297,-0.021638705430413692,-0.7073099864482684,2.69248577933818,1.1936146520673814,3.213790476701113,3.6743123519116385,1000,0.1,0.0,50.0,50.0,43.6,52.28047766658033,9053.340075747092,32.28237123358395,11.282061930519443,43.6,43.7,43.5,52.28047766658033,48.77066595856385,18.33422210706997,25,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_004.csv
8.487311476211456e-05,0.13548229396011005,0.018355451976693672,0.13548232054456139,0.3273188672496241,-0.3522863668253055,0.6796052340749297,-0.015765140963186444,-0.7456785602617737,2.6002386540864957,1.191848990087236,3.099091813858784,3.54309914630286,1000,0.1,0.0,50.0,50.0,43.6,56.44867368931404,9177.742900296682,32.82895832273034,11.402462051893272,43.6,43.7,21.200000000000003,56.44867368931404,35.9381760227284,29.924340441952324,26,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_004.csv
3.047262519750718e-05,0.13453480771964052,0.018099614488160647,0.1345348111707209,0.359484062899662,-0.34246196116259264,0.7019460240622546,-0.006630444954349541,-0.837268033123094,2.6720523838509482,1.1841643725259285,3.16414923447927,3.6129469920352713,1000,0.1,0.0,50.0,50.0,43.7,73.0449262153825,9049.811882427639,31.94064496185051,11.16969043074313,43.7,21.200000000000003,42.400000000000006,73.0449262153825,27.435251874390072,23.04710147236532,27,1000,1999,10.0,19.99,14.995,10.0,1,,M1_1260,bloco_004.csv
-5.530448729493105e-05,0.13312837966132648,0.017723165471250284,0.13312839114868247,0.359484062899662,-0.34246196116259264,0.7019460240622546,-0.020046911960330576,-0.8474277626911415,2.7002809828759786,1.180504158672585,3.187692929869588,3.6217617229898385,1000,0.1,0.0,50.0,50.0,43.7,68.62320915124332,8861.601033651334,31.698437764124957,11.426565068619203,43.7,43.6,21.3,68.62320915124332,28.614717749835098,22.546795165026698,28,1500,2499,15.0,24.99,19.994999999999997,10.0,1,,M1_1260,bloco_004.csv
0.00013522594369210533,0.13159715572676373,0.0173178113953741,0.13159722520414308,0.31333866219767426,-0.3144994542158547,0.6278381164135289,-0.012834964330908168,-0.8559515310592523,2.389863872342145,1.181287858815954,2.823117176620657,3.2150431928092567,1000,0.1,0.0,50.0,50.0,43.7,76.41632542557271,8658.923991664593,30.254437312436018,11.697254790139489,43.7,21.3,42.400000000000006,76.41632542557271,22.715256984747594,14.08816052408492,29,2000,2999,20.0,29.99,24.994999999999997,10.0,1,,M1_1260,bloco_004.csv
0.00019848548246462314,0.13205151655492955,0.017437603024456835,0.1320516657257438,0.31333866219767426,-0.3217649290836008,0.635103591281275,0.0042565943437474635,-0.8372918237212037,2.4366593735505746,1.1808350637515743,2.877292826707464,3.278164156904555,1000,0.1,0.0,50.0,50.0,43.7,59.560721563998435,8718.924193908571,32.48545250697954,11.741150783817016,43.7,43.6,43.5,59.560721563998435,24.59557888989825,19.830753094063756,30,2500,3499,25.0,34.99,29.995,10.0,1,,M1_1260,bloco_004.csv
